units,dropouts,batchs,acc
32,0,16,60.31%
32,0,32,60.07%
32,0,64,59.88%
32,0.25,16,60.54%
32,0.25,32,60.69%
32,0.25,64,59.93%
32,0.5,16,60.14%
32,0.5,32,59.00%
32,0.5,64,59.13%
64,0,16,60.20%
64,0,32,59.91%
64,0,64,59.59%
64,0.25,16,60.97%
64,0.25,32,60.85%
64,0.25,64,60.56%
64,0.5,16,60.67%
64,0.5,32,59.05%
64,0.5,64,60.66%
128,0,16,60.02%
128,0,32,60.16%
128,0,64,59.84%
128,0.25,16,60.76%
128,0.25,32,60.85%
128,0.25,64,60.16%
128,0.5,16,61.19%
128,0.5,32,61.03%
128,0.5,64,59.98%
256,0,16,59.69%
256,0,32,59.62%
256,0,64,59.67%
256,0.25,16,60.38%
256,0.25,32,60.70%
256,0.25,64,60.22%
256,0.5,16,60.61%
256,0.5,32,60.53%
256,0.5,64,60.37%
32,0,16,60.39%
32,0,32,60.49%
32,0,64,60.81%
32,0.25,16,60.46%
32,0.25,32,59.95%
32,0.25,64,60.50%
32,0.5,16,58.46%
32,0.5,32,59.32%
32,0.5,64,59.46%
64,0,16,59.45%
64,0,32,60.21%
64,0,64,60.59%
64,0.25,16,61.09%
64,0.25,32,60.89%
64,0.25,64,60.71%
64,0.5,16,59.98%
64,0.5,32,59.67%
64,0.5,64,59.53%
128,0,16,59.83%
128,0,32,60.42%
128,0,64,46.90%
128,0.25,16,60.81%
128,0.25,32,61.52%
128,0.25,64,61.38%
128,0.5,16,60.88%
128,0.5,32,56.96%
128,0.5,64,58.78%
256,0,16,59.31%
256,0,32,60.18%
256,0,64,58.68%
256,0.25,16,59.77%
256,0.25,32,60.95%
256,0.25,64,52.65%
256,0.5,16,60.74%
256,0.5,32,55.81%
256,0.5,64,60.84%
